period,lat,lon,parking,d
46,37.52181,126.893221,6.5,
47,37.52181,126.893221,6,
48,37.52181,126.893221,5.5,
1,37.52181,126.893221,5,
2,37.52181,126.893221,4.5,
3,37.52181,126.893221,4,
4,37.52181,126.893221,3.5,
5,37.52181,126.893221,3,
6,37.52181,126.893221,2.5,
7,37.52181,126.893221,2,
8,37.52181,126.893221,1.5,
9,37.52181,126.893221,1,
10,37.52181,126.893221,0.5,
11,37.52181,126.893221,0,
12,37.511191,126.916973,0,
13,37.517352,126.927574,0,
14,37.52181,126.893221,0.5,
15,37.52181,126.893221,0,
16,37.52623,126.904131,0,
17,37.53275,126.915021,1.5,
18,37.53275,126.915021,1,
19,37.53275,126.915021,0.5,
20,37.53275,126.915021,0,
21,37.541125,126.898219,0,
22,37.53275,126.915021,7,
23,37.53275,126.915021,6.5,
24,37.53275,126.915021,6,
25,37.53275,126.915021,5.5,
26,37.53275,126.915021,5,
27,37.53275,126.915021,4.5,
28,37.53275,126.915021,4,
29,37.53275,126.915021,3.5,
30,37.53275,126.915021,3,
31,37.53275,126.915021,2.5,
32,37.53275,126.915021,2,
33,37.53275,126.915021,1.5,
34,37.53275,126.915021,1,
35,37.53275,126.915021,0.5,
36,37.53275,126.915021,0,
37,37.52573,126.915021,0,
38,37.52191,126.915021,4.5,
39,37.52191,126.915021,4,
40,37.52191,126.904111,3.5,
41,37.52191,126.893111,3,
42,37.52191,126.893111,2.5,
43,37.52191,126.893111,2,
44,37.52191,126.893111,1.5,
45,37.52191,126.893111,1,
46,37.52191,126.893111,0.5,
47,37.52191,126.893111,0,
48,37.522594,126.905258,0,
1,37.52191,126.893111,7,
2,37.52191,126.893111,6.5,
3,37.52191,126.893111,6,
4,37.52191,126.893111,5.5,
5,37.52191,126.893111,5,
6,37.52191,126.893111,4.5,
7,37.52191,126.893111,4,
8,37.52191,126.893111,3.5,
9,37.52191,126.893111,3,
10,37.52191,126.893111,2.5,
11,37.52191,126.893111,2,
12,37.52191,126.893111,1.5,
13,37.52191,126.893111,1,
14,37.52191,126.893111,0.5,
15,37.52191,126.893111,0,
16,37.52703,126.903941,0,
17,37.53185,126.914931,5,
18,37.53185,126.914931,4.5,
19,37.53185,126.914931,4,
20,37.53185,126.914931,3.5,
21,37.53185,126.914931,3,
22,37.53185,126.914931,2.5,
23,37.53185,126.914931,2,
24,37.53185,126.914931,1.5,
25,37.53185,126.914931,1,
26,37.53185,126.914931,0.5,
27,37.53185,126.914931,0,
28,37.515144,126.90706,0,
29,37.53185,126.914931,3.5,
30,37.53185,126.914931,3,
31,37.53185,126.914931,2.5,
32,37.53185,126.914931,2,
33,37.53185,126.914931,1.5,
34,37.53185,126.914931,1,
35,37.53185,126.914931,0.5,
36,37.53185,126.914931,0,
37,37.52653,126.914931,0,
38,37.52071,126.914931,12.5,
39,37.52071,126.914931,12,
40,37.52071,126.904081,11.5,
41,37.52071,126.893151,11,
42,37.52071,126.893151,10.5,
43,37.52071,126.893151,10,
44,37.52071,126.893151,9.5,
45,37.52071,126.893151,9,
46,37.52071,126.893151,8.5,
47,37.52071,126.893151,8,
48,37.52071,126.893151,7.5,
1,37.52071,126.893151,7,
2,37.52071,126.893151,6.5,
3,37.52071,126.893151,6,
4,37.52071,126.893151,5.5,
5,37.52071,126.893151,5,
6,37.52071,126.893151,4.5,
7,37.52071,126.893151,4,
8,37.52071,126.893151,3.5,
9,37.52071,126.893151,3,
10,37.52071,126.893151,2.5,
11,37.52071,126.893151,2,
12,37.52071,126.893151,1.5,
13,37.52071,126.893151,1,
14,37.52071,126.893151,0.5,
15,37.52071,126.893151,0,
16,37.52643,126.904121,0,
17,37.53235,126.914961,0.5,
18,37.53235,126.914961,0,
19,37.510426,126.910278,0,
20,37.528993,126.916888,0,
21,37.53235,126.914961,7.5,
22,37.53235,126.914961,7,
23,37.53235,126.914961,6.5,
24,37.53235,126.914961,6,
25,37.53235,126.914961,5.5,
26,37.53235,126.914961,5,
27,37.53235,126.914961,4.5,
28,37.53235,126.914961,4,
29,37.53235,126.914961,3.5,
30,37.53235,126.914961,3,
31,37.53235,126.914961,2.5,
32,37.53235,126.914961,2,
33,37.53235,126.914961,1.5,
34,37.53235,126.914961,1,
35,37.53235,126.914961,0.5,
36,37.53235,126.914961,0,
37,37.52643,126.914961,0,
38,37.52041,126.914961,12.5,
39,37.52041,126.914961,12,
40,37.52041,126.904091,11.5,
41,37.52041,126.893241,11,
42,37.52041,126.893241,10.5,
43,37.52041,126.893241,10,
44,37.52041,126.893241,9.5,
45,37.52041,126.893241,9,
46,37.52041,126.893241,8.5,
47,37.52041,126.893241,8,
48,37.52041,126.893241,7.5,
1,37.52041,126.893241,7,
2,37.52041,126.893241,6.5,
3,37.52041,126.893241,6,
4,37.52041,126.893241,5.5,
5,37.52041,126.893241,5,
6,37.52041,126.893241,4.5,
7,37.52041,126.893241,4,
8,37.52041,126.893241,3.5,
9,37.52041,126.893241,3,
10,37.52041,126.893241,2.5,
11,37.52041,126.893241,2,
12,37.52041,126.893241,1.5,
13,37.52041,126.893241,1,
14,37.52041,126.893241,0.5,
15,37.52041,126.893241,0,
16,37.52743,126.904111,0,
17,37.53175,126.914871,9.5,
18,37.53175,126.914871,9,
19,37.53175,126.914871,8.5,
20,37.53175,126.914871,8,
21,37.53175,126.914871,7.5,
22,37.53175,126.914871,7,
23,37.53175,126.914871,6.5,
24,37.53175,126.914871,6,
25,37.53175,126.914871,5.5,
26,37.53175,126.914871,5,
27,37.53175,126.914871,4.5,
28,37.53175,126.914871,4,
29,37.53175,126.914871,3.5,
30,37.53175,126.914871,3,
31,37.53175,126.914871,2.5,
32,37.53175,126.914871,2,
33,37.53175,126.914871,1.5,
34,37.53175,126.914871,1,
35,37.53175,126.914871,0.5,
36,37.53175,126.914871,0,
37,37.52573,126.914871,0,
38,37.52051,126.914871,1,
39,37.52051,126.914871,0.5,
40,37.52051,126.903941,0,
41,37.510821,126.893751,0,
42,37.52051,126.893201,10.5,
43,37.52051,126.893201,10,
44,37.52051,126.893201,9.5,
45,37.52051,126.893201,9,
46,37.52051,126.893201,8.5,
47,37.52051,126.893201,8,
48,37.52051,126.893201,7.5,
1,37.52051,126.893201,7,
2,37.52051,126.893201,6.5,
3,37.52051,126.893201,6,
4,37.52051,126.893201,5.5,
5,37.52051,126.893201,5,
6,37.52051,126.893201,4.5,
7,37.52051,126.893201,4,
8,37.52051,126.893201,3.5,
9,37.52051,126.893201,3,
10,37.52051,126.893201,2.5,
11,37.52051,126.893201,2,
12,37.52051,126.893201,1.5,
13,37.52051,126.893201,1,
14,37.52051,126.893201,0.5,
15,37.52051,126.893201,0,
16,37.52583,126.904091,0,
17,37.53115,126.914841,9.5,
18,37.53115,126.914841,9,
19,37.53115,126.914841,8.5,
20,37.53115,126.914841,8,
21,37.53115,126.914841,7.5,
22,37.53115,126.914841,7,
23,37.53115,126.914841,6.5,
24,37.53115,126.914841,6,
25,37.53115,126.914841,5.5,
26,37.53115,126.914841,5,
27,37.53115,126.914841,4.5,
28,37.53115,126.914841,4,
29,37.53115,126.914841,3.5,
30,37.53115,126.914841,3,
31,37.53115,126.914841,2.5,
32,37.53115,126.914841,2,
33,37.53115,126.914841,1.5,
34,37.53115,126.914841,1,
35,37.53115,126.914841,0.5,
36,37.53115,126.914841,0,
37,37.52613,126.914841,0,
38,37.52091,126.914841,12.5,
39,37.52091,126.914841,12,
40,37.52091,126.904101,11.5,
41,37.52091,126.893201,11,
42,37.52091,126.893201,10.5,
43,37.52091,126.893201,10,
44,37.52091,126.893201,9.5,
45,37.52091,126.893201,9,
46,37.52091,126.893201,8.5,
47,37.52091,126.893201,8,
48,37.52091,126.893201,7.5,
1,37.52091,126.893201,7,
2,37.52091,126.893201,6.5,
3,37.52091,126.893201,6,
4,37.52091,126.893201,5.5,
5,37.52091,126.893201,5,
6,37.52091,126.893201,4.5,
7,37.52091,126.893201,4,
8,37.52091,126.893201,3.5,
9,37.52091,126.893201,3,
10,37.52091,126.893201,2.5,
11,37.52091,126.893201,2,
12,37.52091,126.893201,1.5,
13,37.52091,126.893201,1,
14,37.52091,126.893201,0.5,
15,37.52091,126.893201,0,
16,37.52643,126.903931,0,
17,37.53165,126.914841,9,
18,37.53165,126.914841,8.5,
19,37.53165,126.914841,8,
20,37.53165,126.914841,7.5,
21,37.53165,126.914841,7,
22,37.53165,126.914841,6.5,
23,37.53165,126.914841,6,
24,37.53165,126.914841,5.5,
25,37.53165,126.914841,5,
26,37.53165,126.914841,4.5,
27,37.53165,126.914841,4,
28,37.53165,126.914841,3.5,
29,37.53165,126.914841,3,
30,37.53165,126.914841,2.5,
31,37.53165,126.914841,2,
32,37.53165,126.914841,1.5,
33,37.53165,126.914841,1,
34,37.53165,126.914841,0.5,
35,37.53165,126.914841,0,
36,37.533823,126.917638,0,
37,37.52703,126.914841,0,
38,37.52021,126.914841,12.5,
39,37.52021,126.914841,12,
40,37.52021,126.903941,11.5,
41,37.52021,126.893211,11,
42,37.52021,126.893211,10.5,
43,37.52021,126.893211,10,
44,37.52021,126.893211,9.5,
45,37.52021,126.893211,9,
46,37.52021,126.893211,8.5,
47,37.52021,126.893211,8,
48,37.52021,126.893211,7.5,
1,37.52021,126.893211,7,
2,37.52021,126.893211,6.5,
3,37.52021,126.893211,6,
4,37.52021,126.893211,5.5,
5,37.52021,126.893211,5,
6,37.52021,126.893211,4.5,
7,37.52021,126.893211,4,
8,37.52021,126.893211,3.5,
9,37.52021,126.893211,3,
10,37.52021,126.893211,2.5,
11,37.52021,126.893211,2,
12,37.52021,126.893211,1.5,
13,37.52021,126.893211,1,
14,37.52021,126.893211,0.5,
15,37.52021,126.893211,0,
16,37.52693,126.904111,0,
17,37.53235,126.914861,9.5,
18,37.53235,126.914861,9,
19,37.53235,126.914861,8.5,
20,37.53235,126.914861,8,
21,37.53235,126.914861,7.5,
22,37.53235,126.914861,7,
23,37.53235,126.914861,6.5,
24,37.53235,126.914861,6,
25,37.53235,126.914861,5.5,
26,37.53235,126.914861,5,
27,37.53235,126.914861,4.5,
28,37.53235,126.914861,4,
29,37.53235,126.914861,3.5,
30,37.53235,126.914861,3,
31,37.53235,126.914861,2.5,
32,37.53235,126.914861,2,
33,37.53235,126.914861,1.5,
34,37.53235,126.914861,1,
35,37.53235,126.914861,0.5,
36,37.53235,126.914861,0,
37,37.52563,126.914861,0,
38,37.52031,126.914861,7,
39,37.52031,126.914861,6.5,
40,37.52031,126.904031,6,
41,37.52031,126.893131,5.5,
42,37.52031,126.893131,5,
43,37.52031,126.893131,4.5,
44,37.52031,126.893131,4,
45,37.52031,126.893131,3.5,
46,37.52031,126.893131,3,
47,37.52031,126.893131,2.5,
48,37.52031,126.893131,2,
1,37.52031,126.893131,1.5,
2,37.52031,126.893131,1,
3,37.52031,126.893131,0.5,
4,37.52031,126.893131,0,
5,37.528993,126.916888,0,
6,37.504991,126.897275,0,
7,37.52031,126.893131,4,
8,37.52031,126.893131,3.5,
9,37.52031,126.893131,3,
10,37.52031,126.893131,2.5,
11,37.52031,126.893131,2,
12,37.52031,126.893131,1.5,
13,37.52031,126.893131,1,
14,37.52031,126.893131,0.5,
15,37.52031,126.893131,0,
16,37.52563,126.904101,0,
17,37.53245,126.914951,9.5,
18,37.53245,126.914951,9,
19,37.53245,126.914951,8.5,
20,37.53245,126.914951,8,
21,37.53245,126.914951,7.5,
22,37.53245,126.914951,7,
23,37.53245,126.914951,6.5,
24,37.53245,126.914951,6,
25,37.53245,126.914951,5.5,
26,37.53245,126.914951,5,
27,37.53245,126.914951,4.5,
28,37.53245,126.914951,4,
29,37.53245,126.914951,3.5,
30,37.53245,126.914951,3,
31,37.53245,126.914951,2.5,
32,37.53245,126.914951,2,
33,37.53245,126.914951,1.5,
34,37.53245,126.914951,1,
35,37.53245,126.914951,0.5,
36,37.53245,126.914951,0,
37,37.52673,126.914951,0,
38,37.52021,126.914951,12.5,
39,37.52021,126.914951,12,
40,37.52021,126.904001,11.5,
41,37.52021,126.893041,11,
42,37.52021,126.893041,10.5,
43,37.52021,126.893041,10,
44,37.52021,126.893041,9.5,
45,37.52021,126.893041,9,
46,37.52021,126.893041,8.5,
47,37.52021,126.893041,8,
48,37.52021,126.893041,7.5,
1,37.52021,126.893041,7,
2,37.52021,126.893041,6.5,
3,37.52021,126.893041,6,
4,37.52021,126.893041,5.5,
5,37.52021,126.893041,5,
6,37.52021,126.893041,4.5,
7,37.52021,126.893041,4,
8,37.52021,126.893041,3.5,
9,37.52021,126.893041,3,
10,37.52021,126.893041,2.5,
11,37.52021,126.893041,2,
12,37.52021,126.893041,1.5,
13,37.52021,126.893041,1,
14,37.52021,126.893041,0.5,
15,37.52021,126.893041,0,
16,37.52663,126.903991,0,
17,37.53175,126.914891,9.5,
18,37.53175,126.914891,9,
19,37.53175,126.914891,8.5,
20,37.53175,126.914891,8,
21,37.53175,126.914891,7.5,
22,37.53175,126.914891,7,
23,37.53175,126.914891,6.5,
24,37.53175,126.914891,6,
25,37.53175,126.914891,5.5,
26,37.53175,126.914891,5,
27,37.53175,126.914891,4.5,
28,37.53175,126.914891,4,
29,37.53175,126.914891,3.5,
30,37.53175,126.914891,3,
31,37.53175,126.914891,2.5,
32,37.53175,126.914891,2,
33,37.53175,126.914891,1.5,
34,37.53175,126.914891,1,
35,37.53175,126.914891,0.5,
36,37.53175,126.914891,0,
37,37.52683,126.914891,0,
38,37.52021,126.914891,4.5,
39,37.52021,126.914891,4,
40,37.52021,126.904081,3.5,
41,37.52021,126.893061,3,
42,37.52021,126.893061,2.5,
43,37.52021,126.893061,2,
44,37.52021,126.893061,1.5,
45,37.52021,126.893061,1,
46,37.52021,126.893061,0.5,
47,37.52021,126.893061,0,
48,37.515288,126.910475,0,
1,37.525956,126.911091,0,
2,37.52021,126.893061,6.5,
3,37.52021,126.893061,6,
4,37.52021,126.893061,5.5,
5,37.52021,126.893061,5,
6,37.52021,126.893061,4.5,
7,37.52021,126.893061,4,
8,37.52021,126.893061,3.5,
9,37.52021,126.893061,3,
10,37.52021,126.893061,2.5,
11,37.52021,126.893061,2,
12,37.52021,126.893061,1.5,
13,37.52021,126.893061,1,
14,37.52021,126.893061,0.5,
15,37.52021,126.893061,0,
16,37.52653,126.904081,0,
17,37.53125,126.914831,9.5,
18,37.53125,126.914831,9,
19,37.53125,126.914831,8.5,
20,37.53125,126.914831,8,
21,37.53125,126.914831,7.5,
22,37.53125,126.914831,7,
23,37.53125,126.914831,6.5,
24,37.53125,126.914831,6,
25,37.53125,126.914831,5.5,
26,37.53125,126.914831,5,
27,37.53125,126.914831,4.5,
28,37.53125,126.914831,4,
29,37.53125,126.914831,3.5,
30,37.53125,126.914831,3,
31,37.53125,126.914831,2.5,
32,37.53125,126.914831,2,
33,37.53125,126.914831,1.5,
34,37.53125,126.914831,1,
35,37.53125,126.914831,0.5,
36,37.53125,126.914831,0,
37,37.52723,126.914831,0,
38,37.52171,126.914831,3.5,
39,37.52171,126.914831,3,
40,37.52171,126.904031,2.5,
41,37.52171,126.893231,2,
42,37.52171,126.893231,1.5,
43,37.52171,126.893231,1,
44,37.52171,126.893231,0.5,
45,37.52171,126.893231,0,
46,37.528993,126.916888,0,
47,37.52171,126.893231,8,
48,37.52171,126.893231,7.5,
1,37.52171,126.893231,7,
2,37.52171,126.893231,6.5,
3,37.52171,126.893231,6,
4,37.52171,126.893231,5.5,
5,37.52171,126.893231,5,
6,37.52171,126.893231,4.5,
7,37.52171,126.893231,4,
8,37.52171,126.893231,3.5,
9,37.52171,126.893231,3,
10,37.52171,126.893231,2.5,
11,37.52171,126.893231,2,
12,37.52171,126.893231,1.5,
13,37.52171,126.893231,1,
14,37.52171,126.893231,0.5,
15,37.52171,126.893231,0,
16,37.52573,126.904021,0,
17,37.53215,126.914881,4.5,
18,37.53215,126.914881,4,
19,37.53215,126.914881,3.5,
20,37.53215,126.914881,3,
21,37.53215,126.914881,2.5,
22,37.53215,126.914881,2,
23,37.53215,126.914881,1.5,
24,37.53215,126.914881,1,
25,37.53215,126.914881,0.5,
26,37.53215,126.914881,0,
27,37.505259,126.905429,0,
28,37.513063,126.926114,0,
29,37.518646,126.903712,0,
30,37.53215,126.914881,3,
31,37.53215,126.914881,2.5,
32,37.53215,126.914881,2,
33,37.53215,126.914881,1.5,
34,37.53215,126.914881,1,
35,37.53215,126.914881,0.5,
36,37.53215,126.914881,0,
37,37.52593,126.914881,0,
38,37.52141,126.914881,12.5,
39,37.52141,126.914881,12,
40,37.52141,126.904001,11.5,
41,37.52141,126.893041,11,
42,37.52141,126.893041,10.5,
43,37.52141,126.893041,10,
44,37.52141,126.893041,9.5,
45,37.52141,126.893041,9,
46,37.52141,126.893041,8.5,
47,37.52141,126.893041,8,
48,37.52141,126.893041,7.5,
1,37.52141,126.893041,7,
2,37.52141,126.893041,6.5,
3,37.52141,126.893041,6,
4,37.52141,126.893041,5.5,
5,37.52141,126.893041,5,
6,37.52141,126.893041,4.5,
7,37.52141,126.893041,4,
8,37.52141,126.893041,3.5,
9,37.52141,126.893041,3,
10,37.52141,126.893041,2.5,
11,37.52141,126.893041,2,
12,37.52141,126.893041,1.5,
13,37.52141,126.893041,1,
14,37.52141,126.893041,0.5,
15,37.52141,126.893041,0,
16,37.52613,126.904051,0,
17,37.53165,126.915021,9.5,
18,37.53165,126.915021,9,
19,37.53165,126.915021,8.5,
20,37.53165,126.915021,8,
21,37.53165,126.915021,7.5,
22,37.53165,126.915021,7,
23,37.53165,126.915021,6.5,
24,37.53165,126.915021,6,
25,37.53165,126.915021,5.5,
26,37.53165,126.915021,5,
27,37.53165,126.915021,4.5,
28,37.53165,126.915021,4,
29,37.53165,126.915021,3.5,
30,37.53165,126.915021,3,
31,37.53165,126.915021,2.5,
32,37.53165,126.915021,2,
33,37.53165,126.915021,1.5,
34,37.53165,126.915021,1,
35,37.53165,126.915021,0.5,
36,37.53165,126.915021,0,
37,37.52733,126.915021,0,
38,37.52001,126.915021,12.5,
39,37.52001,126.915021,12,
40,37.52001,126.904111,11.5,
41,37.52001,126.893131,11,
42,37.52001,126.893131,10.5,
43,37.52001,126.893131,10,
44,37.52001,126.893131,9.5,
45,37.52001,126.893131,9,
46,37.52001,126.893131,8.5,
47,37.52001,126.893131,8,
48,37.52001,126.893131,7.5,
1,37.52001,126.893131,7,
2,37.52001,126.893131,6.5,
3,37.52001,126.893131,6,
4,37.52001,126.893131,5.5,
5,37.52001,126.893131,5,
6,37.52001,126.893131,4.5,
7,37.52001,126.893131,4,
8,37.52001,126.893131,3.5,
9,37.52001,126.893131,3,
10,37.52001,126.893131,2.5,
11,37.52001,126.893131,2,
12,37.52001,126.893131,1.5,
13,37.52001,126.893131,1,
14,37.52001,126.893131,0.5,
15,37.52001,126.893131,0,
16,37.52613,126.904081,0,
17,37.524092,126.895859,0,
18,37.53105,126.915011,2.5,
19,37.53105,126.915011,2,
20,37.53105,126.915011,1.5,
21,37.53105,126.915011,1,
22,37.53105,126.915011,0.5,
23,37.53105,126.915011,0,
24,37.505259,126.905429,0,
25,37.53105,126.915011,5.5,
26,37.53105,126.915011,5,
27,37.53105,126.915011,4.5,
28,37.53105,126.915011,4,
29,37.53105,126.915011,3.5,
30,37.53105,126.915011,3,
31,37.53105,126.915011,2.5,
32,37.53105,126.915011,2,
33,37.53105,126.915011,1.5,
34,37.53105,126.915011,1,
35,37.53105,126.915011,0.5,
36,37.53105,126.915011,0,
37,37.52743,126.915011,0,
38,37.52161,126.915011,9,
39,37.52161,126.915011,8.5,
40,37.52161,126.903951,8,
41,37.52161,126.893161,7.5,
42,37.52161,126.893161,7,
43,37.52161,126.893161,6.5,
44,37.52161,126.893161,6,
45,37.52161,126.893161,5.5,
46,37.52161,126.893161,5,
47,37.52161,126.893161,4.5,
48,37.52161,126.893161,4,
1,37.52161,126.893161,3.5,
2,37.52161,126.893161,3,
3,37.52161,126.893161,2.5,
4,37.52161,126.893161,2,
5,37.52161,126.893161,1.5,
6,37.52161,126.893161,1,
7,37.52161,126.893161,0.5,
8,37.52161,126.893161,0,
9,37.49985,126.898155,0,
10,37.52161,126.893161,2.5,
11,37.52161,126.893161,2,
12,37.52161,126.893161,1.5,
13,37.52161,126.893161,1,
14,37.52161,126.893161,0.5,
15,37.52161,126.893161,0,
16,37.52713,126.904071,0,
17,37.53105,126.914881,3.5,
18,37.53105,126.914881,3,
19,37.53105,126.914881,2.5,
20,37.53105,126.914881,2,
21,37.53105,126.914881,1.5,
22,37.53105,126.914881,1,
23,37.53105,126.914881,0.5,
24,37.53105,126.914881,0,
25,37.511191,126.916973,0,
26,37.53105,126.914881,5,
27,37.53105,126.914881,4.5,
28,37.53105,126.914881,4,
29,37.53105,126.914881,3.5,
30,37.53105,126.914881,3,
31,37.53105,126.914881,2.5,
32,37.53105,126.914881,2,
33,37.53105,126.914881,1.5,
34,37.53105,126.914881,1,
35,37.53105,126.914881,0.5,
36,37.53105,126.914881,0,
37,37.52683,126.914881,0,
38,37.52101,126.914881,12.5,
39,37.52101,126.914881,12,
40,37.52101,126.903981,11.5,
41,37.52101,126.893071,11,
42,37.52101,126.893071,10.5,
43,37.52101,126.893071,10,
44,37.52101,126.893071,9.5,
45,37.52101,126.893071,9,
46,37.52101,126.893071,8.5,
47,37.52101,126.893071,8,
48,37.52101,126.893071,7.5,
1,37.52101,126.893071,7,
2,37.52101,126.893071,6.5,
3,37.52101,126.893071,6,
4,37.52101,126.893071,5.5,
5,37.52101,126.893071,5,
6,37.52101,126.893071,4.5,
7,37.52101,126.893071,4,
8,37.52101,126.893071,3.5,
9,37.52101,126.893071,3,
10,37.52101,126.893071,2.5,
11,37.52101,126.893071,2,
12,37.52101,126.893071,1.5,
13,37.52101,126.893071,1,
14,37.52101,126.893071,0.5,
15,37.52101,126.893071,0,
16,37.52703,126.904081,0,
17,37.505949,126.910622,0,
18,37.53155,126.914821,9,
19,37.53155,126.914821,8.5,
20,37.53155,126.914821,8,
21,37.53155,126.914821,7.5,
22,37.53155,126.914821,7,
23,37.53155,126.914821,6.5,
24,37.53155,126.914821,6,
25,37.53155,126.914821,5.5,
26,37.53155,126.914821,5,
27,37.53155,126.914821,4.5,
28,37.53155,126.914821,4,
29,37.53155,126.914821,3.5,
30,37.53155,126.914821,3,
31,37.53155,126.914821,2.5,
32,37.53155,126.914821,2,
33,37.53155,126.914821,1.5,
34,37.53155,126.914821,1,
35,37.53155,126.914821,0.5,
36,37.53155,126.914821,0,
37,37.52593,126.914821,0,
38,37.52011,126.914821,9.5,
39,37.52011,126.914821,9,
40,37.52011,126.903941,8.5,
41,37.52011,126.893101,8,
42,37.52011,126.893101,7.5,
43,37.52011,126.893101,7,
44,37.52011,126.893101,6.5,
45,37.52011,126.893101,6,
46,37.52011,126.893101,5.5,
47,37.52011,126.893101,5,
48,37.52011,126.893101,4.5,
1,37.52011,126.893101,4,
2,37.52011,126.893101,3.5,
3,37.52011,126.893101,3,
4,37.52011,126.893101,2.5,
5,37.52011,126.893101,2,
6,37.52011,126.893101,1.5,
7,37.52011,126.893101,1,
8,37.52011,126.893101,0.5,
9,37.52011,126.893101,0,
10,37.522594,126.905258,0,
11,37.5255,126.886289,0,
12,37.526678,126.932895,0,
13,37.52011,126.893101,1,
14,37.52011,126.893101,0.5,
15,37.52011,126.893101,0,
16,37.52643,126.904071,0,
17,37.53225,126.914991,9.5,
18,37.53225,126.914991,9,
19,37.53225,126.914991,8.5,
20,37.53225,126.914991,8,
21,37.53225,126.914991,7.5,
22,37.53225,126.914991,7,
23,37.53225,126.914991,6.5,
24,37.53225,126.914991,6,
25,37.53225,126.914991,5.5,
26,37.53225,126.914991,5,
27,37.53225,126.914991,4.5,
28,37.53225,126.914991,4,
29,37.53225,126.914991,3.5,
